Level 12,Unit 1201,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 12,Unit 1202,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 13,Unit 1301,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 13,Unit 1302,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 13,Unit 1305,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 13,Unit 1306,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 13,Unit 1308,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 13,Unit 1309,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 13,Unit 1310,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 13,Unit 1311,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 13,Unit 1312,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 14,Unit 1401,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 14,Unit 1402,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 14,Unit 1405,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 14,Unit 1406,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 14,Unit 1408,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 14,Unit 1409,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 14,Unit 1410,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 14,Unit 1411,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 14,Unit 1412,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 15,Unit 1501,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 15,Unit 1502,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 15,Unit 1505,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 15,Unit 1506,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 15,Unit 1508,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 15,Unit 1509,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
Level 15,Unit 1510,GREAT ROOM,"Outlets: height, level, secure, spacing, ring depth",Optima
